[01-Mar-2013 18:42:51 UTC] PHP Fatal error:  Class 'StateModel' not found in D:\workspace\grubhub\export.php on line 5
[01-Mar-2013 18:43:31 UTC] PHP Warning:  fopen(data/AZ.csv) [<a href='function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in D:\workspace\grubhub\export.php on line 23
[01-Mar-2013 18:43:31 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in D:\workspace\grubhub\export.php on line 24
[04-Mar-2013 21:56:08 UTC] PHP Warning:  Missing argument 2 for PlaceYelpDetailsParser::__construct(), called in D:\workspace\grubhub\classes\crawlers\UpdatePlacesWithYelpCrawler.php on line 96 and defined in D:\workspace\grubhub\classes\parsers\PlaceYelpDetailsParser.php on line 12
[04-Mar-2013 21:56:08 UTC] PHP Warning:  Missing argument 3 for PlaceYelpDetailsParser::__construct(), called in D:\workspace\grubhub\classes\crawlers\UpdatePlacesWithYelpCrawler.php on line 96 and defined in D:\workspace\grubhub\classes\parsers\PlaceYelpDetailsParser.php on line 12
[04-Mar-2013 21:56:08 UTC] PHP Notice:  Undefined variable: city_id in D:\workspace\grubhub\classes\parsers\PlaceYelpDetailsParser.php on line 13
[04-Mar-2013 21:56:08 UTC] PHP Notice:  Undefined variable: cuisine_id in D:\workspace\grubhub\classes\parsers\PlaceYelpDetailsParser.php on line 14
[04-Mar-2013 22:52:05 UTC] PHP Fatal error:  Call to undefined method PlaceYelpDetailsParser::parseAddressStreet() in D:\workspace\grubhub\classes\parsers\PlaceYelpDetailsParser.php on line 32
[05-Mar-2013 08:39:26 UTC] PHP Fatal error:  Call to a member function find() on a non-object in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 63
[05-Mar-2013 08:39:54 UTC] PHP Fatal error:  Call to a member function find() on a non-object in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 63
[05-Mar-2013 08:39:58 UTC] PHP Fatal error:  Call to a member function find() on a non-object in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 63
[05-Mar-2013 08:40:13 UTC] PHP Fatal error:  Call to undefined method PlaceYelpHtmlDetailsParser::destroyRaw() in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 37
[05-Mar-2013 08:43:37 UTC] PHP Notice:  Trying to get property of non-object in D:\workspace\grubhub\classes\vendor\SimpleHtmlDom\simple_html_dom.php on line 639
[05-Mar-2013 08:43:37 UTC] PHP Notice:  Trying to get property of non-object in D:\workspace\grubhub\classes\vendor\SimpleHtmlDom\simple_html_dom.php on line 455
[05-Mar-2013 08:43:37 UTC] PHP Fatal error:  Call to a member function seek() on a non-object in D:\workspace\grubhub\classes\vendor\SimpleHtmlDom\simple_html_dom.php on line 457
[05-Mar-2013 08:44:43 UTC] PHP Notice:  Trying to get property of non-object in D:\workspace\grubhub\classes\vendor\SimpleHtmlDom\simple_html_dom.php on line 639
[05-Mar-2013 08:44:43 UTC] PHP Notice:  Trying to get property of non-object in D:\workspace\grubhub\classes\vendor\SimpleHtmlDom\simple_html_dom.php on line 455
[05-Mar-2013 08:44:43 UTC] PHP Fatal error:  Call to a member function seek() on a non-object in D:\workspace\grubhub\classes\vendor\SimpleHtmlDom\simple_html_dom.php on line 457
[05-Mar-2013 08:45:50 UTC] PHP Fatal error:  Call to undefined method PlaceYelpHtmlDetailsParser::find() in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 70
[05-Mar-2013 08:46:17 UTC] PHP Notice:  Undefined property: PlaceYelpHtmlDetailsParser::$getResponseObject in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 70
[05-Mar-2013 08:46:17 UTC] PHP Fatal error:  Call to a member function find() on a non-object in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 70
[05-Mar-2013 09:08:51 UTC] PHP Notice:  Trying to get property of non-object in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 133
[05-Mar-2013 09:08:51 UTC] PHP Notice:  Trying to get property of non-object in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 140
[05-Mar-2013 09:08:51 UTC] PHP Notice:  Trying to get property of non-object in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 147
[05-Mar-2013 09:09:58 UTC] PHP Notice:  Trying to get property of non-object in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 133
[05-Mar-2013 09:09:58 UTC] PHP Notice:  Trying to get property of non-object in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 140
[05-Mar-2013 09:09:58 UTC] PHP Notice:  Trying to get property of non-object in D:\workspace\grubhub\classes\parsers\PlaceYelpHtmlDetailsParser.php on line 147
[05-Mar-2013 21:52:09 UTC] PHP Warning:  mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory in D:\workspace\grubhub\classes\KDGService.php on line 528
[05-Mar-2013 21:52:09 UTC] PHP Warning:  chmod() [<a href='function.chmod'>function.chmod</a>]: No such file or directory in D:\workspace\grubhub\classes\KDGService.php on line 529
[05-Mar-2013 21:52:09 UTC] PHP Notice:  Undefined index: zip in D:\workspace\grubhub\classes\KDGService.php on line 303
[05-Mar-2013 21:52:11 UTC] PHP Warning:  mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory in D:\workspace\grubhub\classes\KDGService.php on line 528
[05-Mar-2013 21:52:11 UTC] PHP Warning:  chmod() [<a href='function.chmod'>function.chmod</a>]: No such file or directory in D:\workspace\grubhub\classes\KDGService.php on line 529
